profile,type,state,time,price,source
baseload,Energy,NSW,1/01/2022,183,actual
baseload,Energy,VIC,1/01/2022,134,actual
baseload,Energy,QLD,1/01/2022,205,actual
baseload,Energy,SA,1/01/2022,156,actual
solar,Energy,NSW,1/01/2022,107,actual
solar,Energy,VIC,1/01/2022,57,actual
solar,Energy,QLD,1/01/2022,98,actual
solar,Energy,SA,1/01/2022,57,actual
solar,green,NSW,1/01/2022,48,actual
solar,green,VIC,1/01/2022,48,actual
solar,green,QLD,1/01/2022,48,actual
solar,green,SA,1/01/2022,48,actual
wind,Energy,NSW,1/01/2022,182,actual
wind,Energy,VIC,1/01/2022,110,actual
wind,Energy,QLD,1/01/2022,196,actual
wind,Energy,SA,1/01/2022,114,actual
wind,green,NSW,1/01/2022,48,actual
wind,green,VIC,1/01/2022,48,actual
wind,green,QLD,1/01/2022,48,actual
wind,green,SA,1/01/2022,48,actual
baseload,Energy,NSW,1/02/2022,96,actual
baseload,Energy,VIC,1/02/2022,55,actual
baseload,Energy,QLD,1/02/2022,91,actual
baseload,Energy,SA,1/02/2022,80,actual
solar,Energy,NSW,1/02/2022,50,actual
solar,Energy,VIC,1/02/2022,1,actual
solar,Energy,QLD,1/02/2022,27,actual
solar,Energy,SA,1/02/2022,7,actual
solar,green,NSW,1/02/2022,53,actual
solar,green,VIC,1/02/2022,53,actual
solar,green,QLD,1/02/2022,53,actual
solar,green,SA,1/02/2022,53,actual
wind,Energy,NSW,1/02/2022,88,actual
wind,Energy,VIC,1/02/2022,35,actual
wind,Energy,QLD,1/02/2022,87,actual
wind,Energy,SA,1/02/2022,49,actual
wind,green,NSW,1/02/2022,53,actual
wind,green,VIC,1/02/2022,53,actual
wind,green,QLD,1/02/2022,53,actual
wind,green,SA,1/02/2022,53,actual
baseload,Energy,NSW,1/03/2022,100,forecast
baseload,Energy,VIC,1/03/2022,81,forecast
baseload,Energy,QLD,1/03/2022,100,forecast
baseload,Energy,SA,1/03/2022,82,forecast
solar,Energy,NSW,1/03/2022,52,forecast
solar,Energy,VIC,1/03/2022,44,forecast
solar,Energy,QLD,1/03/2022,51,forecast
solar,Energy,SA,1/03/2022,36,forecast
solar,green,NSW,1/03/2022,36,forecast
solar,green,VIC,1/03/2022,36,forecast
solar,green,QLD,1/03/2022,36,forecast
solar,green,SA,1/03/2022,36,forecast
wind,Energy,NSW,1/03/2022,101,forecast
wind,Energy,VIC,1/03/2022,55,forecast
wind,Energy,QLD,1/03/2022,106,forecast
wind,Energy,SA,1/03/2022,52,forecast
wind,green,NSW,1/03/2022,36,forecast
wind,green,VIC,1/03/2022,36,forecast
wind,green,QLD,1/03/2022,36,forecast
wind,green,SA,1/03/2022,36,forecast
baseload,Energy,NSW,1/04/2022,101,forecast
baseload,Energy,VIC,1/04/2022,82,forecast
baseload,Energy,QLD,1/04/2022,101,forecast
baseload,Energy,SA,1/04/2022,83,forecast
solar,Energy,NSW,1/04/2022,52,forecast
solar,Energy,VIC,1/04/2022,44,forecast
solar,Energy,QLD,1/04/2022,51,forecast
solar,Energy,SA,1/04/2022,37,forecast
solar,green,NSW,1/04/2022,35,forecast
